Accession	Class
BcCD00540757	2
BcCD00540758	2
BcCD00540759	2
BcCD00540760	2
BcCD00540936	2
BcCD00540937	2
BcCD00546494	0
BcCD00546495	0
BcCD00546526	0
BcCD00546527	1
BcCD00546528	2
BcCD00583995	2
BcCD00584513	2
BcCD00591009	2
BcCD00591467	1
BcCD00598397	2
BcCD00627886	2
BcCD00627907	2
BcCD00627908	0
BcCD00628078	2
BcCD00665639	2
BcCD00665958	2
BcCD00665959	2
BcCD00666031	2
BcCD00666251	2
BcCD00666269	1
BfCD00334718	2
BfCD00334719	1
BfCD00334720	2
BfCD00334721	1
BfCD00334722	2
BfCD00334723	2
BfCD00334724	2
BfCD00334725	0
BfCD00334726	2
BfCD00334727	2
BfCD00334728	2
BfCD00334729	2
BfCD00334730	0
BfCD00334731	1
BfCD00334774	2
BfCD00334775	2
BfCD00334776	1
BfCD00334777	2
BfCD00334938	2
BfCD00334939	0
BfCD00334940	2
BfCD00334941	2
BfCD00334942	2
BfCD00334966	2
BfCD00336862	2
BfCD00336863	2
BfCD00338396	0
BfCD00338582	2
BfCD00338583	2
BfCD00338584	1
BfCD00339541	1
BfCD00339747	0
BfCD00339748	1
BfCD00339749	0
BfCD00339750	1
BfCD00339751	0
BfCD00339752	1
BfCD00339900	0
BfCD00339901	1
BfCD00339902	2
BfCD00339903	2
BfCD00339904	0
BfCD00339905	2
BfCD00339906	2
BfCD00339907	2
BfCD00339908	1
BfCD00339909	2
BfCD00339910	0
BfCD00339911	2
BfCD00339912	0
BfCD00339913	2
BfCD00339914	2
BfCD00339915	2
BfCD00339916	0
BfCD00339917	2
BfCD00339918	2
BfCD00339919	0
BfCD00342921	2
BfCD00342922	2
BfCD00342923	2
BfCD00342924	1
BfCD00342925	2
BfCD00344093	2
BfCD00344094	2
BfCD00344095	0
BfCD00344096	2
BfCD00344097	1
BfCD00344098	2
BfCD00344099	2
BfCD00344100	2
BfCD00344101	1
BfCD00344102	2
BfCD00385019	1
BfCD00422884	0
BfCD00422885	1
BfCD00422886	2
BfCD00422887	2
BfCD00422888	0
BfCD00422890	1
BfCD00422954	2
BfCD00423043	1
BfCD00423138	2
BfCD00530734	2
BfCD00530735	2
BfCD00530749	2
BfCD00530750	2
BfCD00530751	2
BfCD00530752	0
BfCD00530753	2
BfCD00530754	2
BfCD00530755	1
BfCD00530756	0
BfCD00530757	2
BfCD00530762	1
BfCD00530907	2
BfCD00539965	1
BfCD00539969	1
BfCD00540326	2
BfCD00540327	0
BfCD00540696	1
BfCD00540697	0
BfCD00540746	2
BfCD00540747	2
BfCD00546520	2
BfCD00546521	0
BfCD00546522	2
BfCD00546523	2
BfCD00546524	0
BfCD00546525	2
BfCD00583993	2
BfCD00583994	2
BfCD00590536	1
BfCD00590537	1
BfCD00591465	2
BfCD00591466	2
BfCD00591573	2
BfCD00598396	2
BfCD00627672	1
BfCD00627673	2
BfCD00627674	2
BfCD00627675	0
BfCD00627676	2
BfCD00627906	1
BfCD00627954	2
BfCD00627982	2
BfCD00628008	2
BfCD00628057	2
BfCD00665947	0
BfCD00665968	2
BhCD00331707	2
BhCD00331744	2
BhCD00331745	2
BhCD00334762	0
BhCD00334763	1
BhCD00334764	1
BhCD00334765	0
BhCD00334766	1
BhCD00334767	0
BhCD00334768	1
BhCD00334769	2
BhCD00334770	0
BhCD00334771	0
BhCD00334772	1
BhCD00334773	1
BhCD00334855	2
BhCD00334856	2
BhCD00334857	1
BhCD00334929	2
BhCD00334935	2
BhCD00334936	2
BhCD00334937	2
BhCD00338393	0
BhCD00338394	2
BhCD00338395	1
BhCD00338501	2
BhCD00339505	0
BhCD00339506	1
BhCD00339507	2
BhCD00339508	2
BhCD00339509	2
BhCD00339510	1
BhCD00339511	2
BhCD00339561	2
BhCD00339562	2
BhCD00339699	2
BhCD00339874	2
BhCD00339875	2
BhCD00339876	2
BhCD00339877	2
BhCD00339878	2
BhCD00339879	0
BhCD00339880	1
BhCD00339881	2
BhCD00339882	2
BhCD00339883	2
BhCD00339884	2
BhCD00339885	2
BhCD00339886	2
BhCD00339887	2
BhCD00339888	0
BhCD00339889	0
BhCD00339890	2
BhCD00339891	2
BhCD00339892	2
BhCD00339893	2
BhCD00339894	2
BhCD00339895	2
BhCD00339896	2
BhCD00339897	2
BhCD00339898	1
BhCD00339899	2
BhCD00339964	2
BhCD00339992	1
BhCD00339993	2
BhCD00340034	1
BhCD00340035	0
BhCD00340036	1
BhCD00340037	2
BhCD00340038	1
BhCD00340039	0
BhCD00340040	1
BhCD00340041	1
BhCD00342905	2
BhCD00342906	1
BhCD00342907	0
BhCD00342908	0
BhCD00342909	1
BhCD00342910	2
BhCD00342911	2
BhCD00342912	2
BhCD00342913	1
BhCD00343824	2
BhCD00343825	1
BhCD00343826	2
BhCD00343827	2
BhCD00343828	0
BhCD00343829	1
BhCD00343830	1
BhCD00344132	0
BhCD00344391	1
BhCD00344660	2
BhCD00344661	2
BhCD00344662	2
BhCD00344664	2
BhCD00384801	2
BhCD00384802	2
BhCD00384803	2
BhCD00384873	2
BhCD00384874	2
BhCD00384875	2
BhCD00384876	2
BhCD00385194	2
BhCD00385195	0
BhCD00385196	1
BhCD00385197	0
BhCD00385198	0
BhCD00385199	0
BhCD00385200	1
BhCD00385201	2
BhCD00385202	2
BhCD00385203	2
BhCD00385204	0
BhCD00385205	0
BhCD00385206	0
BhCD00385271	2
BhCD00385272	0
BhCD00422889	0
BhCD00422960	2
BhCD00423091	1
BhCD00423132	2
BhCD00423133	1
BhCD00423134	2
BhCD00423135	2
BhCD00423136	1
BhCD00423137	2
BhCD00423154	2
BhCD00423455	2
BhCD00530747	1
BhCD00530748	2
BhCD00530759	0
BhCD00530761	0
BhCD00530961	2
BhCD00530962	2
BhCD00530963	1
BhCD00530964	1
BhCD00530986	2
BhCD00531011	1
BhCD00531012	2
BhCD00531022	1
BhCD00531056	2
BhCD00531057	2
BhCD00531058	2
BhCD00531059	1
BhCD00531146	1
BhCD00531156	2
BhCD00531242	2
BhCD00531243	2
BhCD00531244	2
BhCD00540317	2
BhCD00540318	2
BhCD00540319	2
BhCD00540320	2
BhCD00540321	2
BhCD00540322	2
BhCD00540323	2
BhCD00540324	2
BhCD00540325	2
BhCD00540447	2
BhCD00540537	2
BhCD00540735	0
BhCD00540882	2
BhCD00540978	2
BhCD00540979	2
BhCD00546488	1
BhCD00546489	2
BhCD00546490	2
BhCD00546491	2
BhCD00546492	1
BhCD00546493	1
BhCD00546555	2
BhCD00546556	0
BhCD00546557	2
BhCD00546558	2
BhCD00546559	0
BhCD00546560	2
BhCD00546561	0
BhCD00546562	0
BhCD00546563	0
BhCD00546564	0
BhCD00591008	2
BhCD00591383	1
BhCD00591384	1
BhCD00591385	1
BhCD00591386	1
BhCD00591477	2
BhCD00591556	2
BhCD00598395	2
BhCD00598765	2
BhCD00598809	1
BhCD00598810	1
BhCD00598847	2
BhCD00627864	1
BhCD00627919	1
BhCD00627920	2
BhCD00627921	2
BhCD00627958	1
BhCD00628009	2
BhCD00628058	2
BhCD00628075	2
BhCD00665611	1
BhCD00665627	0
BhCD00665628	0
BhCD00665918	2
BhCD00665919	2
BhCD00665920	2
BhCD00665921	2
BhCD00665925	0
BhCD00665952	1
BhCD00666035	2
BhCD00666044	2
BhCD00666049	2
BhCD00666050	2
BhCD00666234	2
BhCD00666237	0
BhCD00666238	0
BhCD00666275	0
BjCD00334930	1
BjCD00334931	2
BjCD00334932	2
BjCD00334933	2
BjCD00334934	2
BjCD00344477	0
BjCD00384877	0
BjCD00384878	2
BjCD00384879	2
BjCD00384880	2
BjCD00384881	2
BjCD00384882	2
BjCD00384883	2
BjCD00384909	2
BjCD00384910	2
BjCD00384911	2
BjCD00384912	2
BjCD00384913	2
BjCD00384914	2
BjCD00384915	2
BjCD00384916	2
BjCD00423456	1
BjCD00423457	2
BjCD00531276	2
BjCD00536223	2
BjCD00536224	2
BjCD00536225	2
BjCD00536226	2
BjCD00536227	2
BjCD00536228	2
BjCD00536229	2
BjCD00536230	2
BjCD00536231	2
BjCD00540577	2
BjCD00540578	2
BjCD00540579	2
BjCD00540580	2
BjCD00540581	2
BjCD00540582	2
BjCD00540583	2
BjCD00540584	2
BjCD00591541	0
BjCD00591542	0
BjCD00598848	1
BjCD00627848	2
BjCD00627849	2
BjCD00627950	0
BlCD00339062	1
BlCD00339063	2
BlCD00339064	1
BlCD00339065	2
BlCD00339066	1
BlCD00339067	2
BlCD00339068	2
BlCD00339069	2
BlCD00339070	2
BlCD00339071	2
BlCD00339072	2
BlCD00339073	2
BlCD00343390	2
BlCD00384631	2
BlCD00530942	2
BlCD00536222	0
BlCD00536421	2
BlCD00540204	1
BlCD00540205	1
BlCD00540206	1
BlCD00540688	1
BlCD00540689	1
BlCD00540690	2
BlCD00540691	2
BlCD00540692	1
BlCD00540693	1
BlCD00540694	2
BlCD00540695	1
BlCD00546554	2
BlCD00583991	2
BlCD00583992	2
BlCD00591300	0
BlCD00591301	1
BlCD00591302	1
BlCD00591531	0
BlCD00598683	2
BlCD00666102	1
BlCD00666268	2
BmCD00338247	1
BmCD00338248	1
BpCD00331168	0
BpCD00331169	2
BpCD00334888	2
BpCD00334928	2
BpCD00339783	2
BpCD00339784	2
BpCD00344271	2
BpCD00384701	0
BpCD00384702	2
BpCD00384703	2
BpCD00384704	0
BpCD00384705	2
BpCD00384706	1
BpCD00384707	2
BpCD00384708	2
BpCD00384824	2
BpCD00384825	2
BpCD00384826	1
BpCD00384827	2
BpCD00384828	1
BpCD00384839	2
BpCD00384840	2
BpCD00384841	2
BpCD00384842	0
BpCD00384843	2
BpCD00384844	2
BpCD00384845	2
BpCD00384846	2
BpCD00384884	2
BpCD00384885	2
BpCD00384886	2
BpCD00384887	2
BpCD00384888	2
BpCD00384889	2
BpCD00384899	2
BpCD00384900	2
BpCD00384901	0
BpCD00384902	2
BpCD00384903	1
BpCD00385273	0
BpCD00385274	1
BpCD00385276	2
BpCD00385277	0
BpCD00385278	2
BpCD00385279	0
BpCD00385280	1
BpCD00385281	1
BpCD00397390	0
BpCD00397391	2
BpCD00429613	2
BpCD00429623	2
BpCD00530832	0
BpCD00530995	2
BpCD00531274	2
BpCD00536217	1
BpCD00536218	0
BpCD00536219	1
BpCD00539990	0
BpCD00539991	0
BpCD00540084	2
BpCD00540085	2
BpCD00540086	1
BpCD00540087	1
BpCD00540088	2
BpCD00540089	1
BpCD00540090	1
BpCD00540091	0
BpCD00540092	2
BpCD00540093	1
BpCD00540094	1
BpCD00540095	1
BpCD00540096	1
BpCD00540097	2
BpCD00540098	0
BpCD00540099	1
BpCD00540474	2
BpCD00540475	2
BpCD00540516	1
BpCD00540640	0
BpCD00540641	0
BpCD00540642	0
BpCD00585088	0
BpCD00585089	1
BpCD00589302	2
BpCD00589303	1
BpCD00589304	2
BpCD00591174	2
BpCD00591175	0
BpCD00591176	2
BpCD00591177	0
BpCD00591178	0
BpCD00591179	0
BpCD00591180	0
BpCD00591566	2
BpCD00596925	0
BpCD00597232	0
BpCD00597233	0
BpCD00597234	0
BpCD00597235	1
BpCD00597236	0
BpCD00597237	0
BpCD00597238	0
BpCD00598386	2
BpCD00627951	2
BpCD00666021	2
BpCD00666022	0
BpCD00670506	0
BsCD00331670	2
BsCD00331671	1
BsCD00331672	1
BsCD00331995	2
BsCD00334836	2
BsCD00334837	2
BsCD00334838	1
BsCD00338288	2
BsCD00338289	2
BsCD00338595	2
BsCD00339343	2
BsCD00339344	2
BsCD00341410	2
BsCD00341411	2
BsCD00342570	0
BsCD00342571	0
BsCD00342572	0
BsCD00342573	1
BsCD00342574	2
BsCD00342575	0
BsCD00342583	0
BsCD00343431	2
BsCD00344139	2
BsCD00384805	2
BsCD00384806	1
BsCD00384809	2
BsCD00384810	2
BsCD00384811	2
BsCD00384812	2
BsCD00384815	2
BsCD00384817	0
BsCD00384818	0
BsCD00385207	2
BsCD00385208	2
BsCD00385209	2
BsCD00385210	0
BsCD00385211	2
BsCD00385212	2
BsCD00385213	0
BsCD00385214	2
BsCD00385215	2
BsCD00385364	1
BsCD00385365	2
BsCD00385366	2
BsCD00385367	2
BsCD00385368	2
BsCD00385369	2
BsCD00422898	1
BsCD00422901	1
BsCD00423013	1
BsCD00423277	2
BsCD00423278	2
BsCD00423290	2
BsCD00423291	0
BsCD00429642	2
BsCD00429643	2
BsCD00429644	2
BsCD00429645	2
BsCD00429646	2
BsCD00429647	2
BsCD00429648	2
BsCD00429649	0
BsCD00429650	2
BsCD00429651	2
BsCD00429652	0
BsCD00429653	2
BsCD00429654	2
BsCD00429655	2
BsCD00429656	2
BsCD00429657	2
BsCD00429658	2
BsCD00429659	2
BsCD00429660	2
BsCD00429661	2
BsCD00429662	2
BsCD00429663	2
BsCD00429664	0
BsCD00429665	2
BsCD00429666	2
BsCD00429667	2
BsCD00530845	2
BsCD00530862	2
BsCD00530979	2
BsCD00530989	2
BsCD00530990	1
BsCD00531031	2
BsCD00531066	2
BsCD00531067	2
BsCD00531068	1
BsCD00531069	2
BsCD00531184	2
BsCD00531185	2
BsCD00531186	2
BsCD00531187	2
BsCD00531201	1
BsCD00531270	1
BsCD00531316	2
BsCD00531317	2
BsCD00531318	2
BsCD00531319	2
BsCD00531320	2
BsCD00531321	2
BsCD00531322	2
BsCD00531323	2
BsCD00531324	2
BsCD00531325	2
BsCD00531326	1
BsCD00531327	2
BsCD00531328	2
BsCD00535924	1
BsCD00535925	2
BsCD00535926	2
BsCD00535927	2
BsCD00536111	2
BsCD00539614	2
BsCD00539615	2
BsCD00540493	1
BsCD00540494	1
BsCD00540495	2
BsCD00540496	2
BsCD00584194	2
BsCD00584195	2
BsCD00584196	2
BsCD00584197	2
BsCD00584198	2
BsCD00584199	2
BsCD00584200	0
BsCD00590197	1
BsCD00590198	1
BsCD00591387	2
BsCD00591532	2
BsCD00591533	2
BsCD00591534	2
BsCD00591550	2
BsCD00591559	2
BsCD00597912	2
BsCD00597913	2
BsCD00597914	2
BsCD00597915	2
BsCD00597916	0
BsCD00597917	2
BsCD00597918	2
BsCD00597919	0
BsCD00598800	2
BsCD00598801	2
BsCD00598803	2
BsCD00598817	1
